date,variable,value
2020-12-28,wea,-0.87999
2021-01-04,wea,-1.0543
2021-01-11,wea,-1.1756
2021-01-18,wea,-1.5407
2021-01-25,wea,-1.7614
2021-02-01,wea,-2.3807
2021-02-08,wea,-2.5527
2021-02-15,wea,-1.8781
2021-02-22,wea,-0.69846
2021-03-01,wea,0.91418
2021-03-08,wea,0.90282
2021-03-15,wea,1.6564
2021-03-22,wea,2.8173
2021-03-29,wea,5.0135
2021-04-05,wea,8.8998
2021-04-12,wea,9.8994
2021-04-19,wea,10.324
2021-04-26,wea,10.041
2021-05-03,wea,9.5179
2021-05-10,wea,8.2875
2021-05-17,wea,9.2187
2021-05-24,wea,8.219
2021-05-31,wea,7.8191
2021-06-07,wea,7.482
2021-06-14,wea,7.1103
2021-06-21,wea,6.1906
2021-06-28,wea,5.8834
2021-07-05,wea,5.4761
2021-07-12,wea,4.6221
2021-07-19,wea,4.2809
2021-07-26,wea,4.1091
2021-08-02,wea,4.0991
2021-08-09,wea,4.1474
2021-08-16,wea,3.3745
2021-08-23,wea,4.0338
2021-08-30,wea,4.0267
2021-09-06,wea,4.0951
2021-09-13,wea,4.5826
2021-09-20,wea,4.3093
2021-09-27,wea,3.9796
2021-10-04,wea,4.3816
2021-10-11,wea,4.3418
2021-10-18,wea,3.9532
2021-10-25,wea,3.9459
2021-11-01,wea,4.1102
2021-11-08,wea,3.6074
2021-11-15,wea,4.0696
2021-11-22,wea,4.1264
2021-11-29,wea,4.6164
2021-12-06,wea,4.1468
2021-12-13,wea,2.6603
2021-12-20,wea,3.0738
2021-12-27,wea,3.3221
2022-01-03,wea,3.2377
2022-01-10,wea,2.7619
2022-01-17,wea,3.6779
2022-01-24,wea,3.6267
2022-01-31,wea,4.6879
2022-02-07,wea,5.2278
2022-02-14,wea,4.0822
2022-02-21,wea,3.9046
2022-02-28,wea,4.7588
2022-03-07,wea,2.4487
2022-03-14,wea,2.5049
2022-03-21,wea,1.996
2022-03-28,wea,2.0208
2022-04-04,wea,2.7191
2022-04-11,wea,2.5169
2022-04-18,wea,2.6615
2022-04-25,wea,2.6361
2022-05-02,wea,2.1973
2022-05-09,wea,2.8901
2022-05-16,wea,2.3292
2022-05-23,wea,2.9615
2022-05-30,wea,2.7151
2022-06-06,wea,
2022-06-13,wea,
2022-06-20,wea,
2022-06-27,wea,
2019-12-02,wei,0.83
2019-12-09,wei,0.87
2019-12-16,wei,1.29
2019-12-23,wei,1.81
2019-12-30,wei,1.83
2020-01-06,wei,1.57
2020-01-13,wei,1.05
2020-01-20,wei,1.36
2020-01-27,wei,1.45
2020-02-03,wei,1.82
2020-02-10,wei,1.73
2020-02-17,wei,1.44
2020-02-24,wei,1.36
2020-03-02,wei,1.37
2020-03-09,wei,1.08
2020-03-16,wei,1.02
2020-03-23,wei,-1.35
2020-03-30,wei,-4.38
2020-04-06,wei,-6.49
2020-04-13,wei,-8.77
2020-04-20,wei,-9.28
2020-04-27,wei,-9.43
2020-05-04,wei,-9.48
2020-05-11,wei,-8.53
2020-05-18,wei,-8.58
2020-05-25,wei,-8.06
2020-06-01,wei,-7.84
2020-06-08,wei,-7.45
2020-06-15,wei,-6.65
2020-06-22,wei,-6.03
2020-06-29,wei,-5.82
2020-07-06,wei,-5.29
2020-07-13,wei,-5.05
2020-07-20,wei,-5.82
2020-07-27,wei,-5.16
2020-08-03,wei,-4.88
2020-08-10,wei,-4.38
2020-08-17,wei,-4.32
2020-08-24,wei,-3.51
2020-08-31,wei,-2.77
2020-09-07,wei,-2.93
2020-09-14,wei,-4.18
2020-09-21,wei,-3.07
2020-09-28,wei,-3.11
2020-10-05,wei,-2.73
2020-10-12,wei,-2.33
2020-10-19,wei,-2.4
2020-10-26,wei,-1.9
2020-11-02,wei,-1.65
2020-11-09,wei,-1.62
2020-11-16,wei,-1.7
2020-11-23,wei,-1.61
2020-11-30,wei,-0.82
2020-12-07,wei,-1.23
2020-12-14,wei,-1.44
2020-12-21,wei,-0.73
2020-12-28,wei,0.65
2021-01-04,wei,-0.19
2021-01-11,wei,-0.17
2021-01-18,wei,-0.09
2021-01-25,wei,-0.56
2021-02-01,wei,-0.58
2021-02-08,wei,0.06
2021-02-15,wei,-1.6
2021-02-22,wei,-0.39
2021-03-01,wei,0.65
2021-03-08,wei,0.87
2021-03-15,wei,3.77
2021-03-22,wei,6.82
2021-03-29,wei,8.67
2021-04-05,wei,10.91
2021-04-12,wei,11.13
2021-04-19,wei,11.19
2021-04-26,wei,11.22
2021-05-03,wei,10.39
2021-05-10,wei,10.41
2021-05-17,wei,10.3
2021-05-24,wei,10.4
2021-05-31,wei,8.58
2021-06-07,wei,9.49
2021-06-14,wei,9.13
2021-06-21,wei,8.67
2021-06-28,wei,9.09
2021-07-05,wei,7.01
2021-07-12,wei,7.69
2021-07-19,wei,7.6
2021-07-26,wei,7.58
2021-08-02,wei,6.9
2021-08-09,wei,7.33
2021-08-16,wei,6.62
2021-08-23,wei,7.37
2021-08-30,wei,6.98
2021-09-06,wei,7.01
2021-09-13,wei,6.87
2021-09-20,wei,6.85
2021-09-27,wei,6.88
2021-10-04,wei,6.23
2021-10-11,wei,6.71
2021-10-18,wei,5.62
2021-10-25,wei,6.03
2021-11-01,wei,5.53
2021-11-08,wei,5.47
2021-11-15,wei,5.94
2021-11-22,wei,6.65
2021-11-29,wei,5.79
2021-12-06,wei,6.36
2021-12-13,wei,5.54
2021-12-20,wei,6.59
2021-12-27,wei,5.72
2022-01-03,wei,4.61
2022-01-10,wei,4.98
2022-01-17,wei,5.13
2022-01-24,wei,5.56
2022-01-31,wei,5.32
2022-02-07,wei,5.22
2022-02-14,wei,6.47
2022-02-21,wei,5.29
2022-02-28,wei,4.8
2022-03-07,wei,4.73
2022-03-14,wei,4.89
2022-03-21,wei,4.37
2022-03-28,wei,4.7
2022-04-04,wei,4.39
2022-04-11,wei,4.41
2022-04-18,wei,4.3
2022-04-25,wei,4.41
2022-05-02,wei,4.29
2022-05-09,wei,4.22
2022-05-16,wei,3.57
2022-05-23,wei,3.47
2022-05-30,wei,3.87
2022-06-06,wei,2.66
2022-06-13,wei,3.2
2022-06-20,wei,2.9
2022-06-27,wei,3.17
