date,type,price
2022-01-01,DIE,1.3521940098346
2022-01-02,DIE,1.34739792699414
2022-01-03,DIE,1.340888739345
2022-01-04,DIE,1.35197920353982
2022-01-05,DIE,1.34904950936664
2022-01-06,DIE,1.35858051420839
2022-01-07,DIE,1.35124035476718
2022-01-09,DIE,1.35675939177102
2022-01-10,DIE,1.35155896751224
2022-01-11,DIE,1.36210371032633
2022-01-12,DIE,1.36797892376682
2022-01-13,DIE,1.37570680393912
2022-01-14,DIE,1.3793747714808
2022-01-15,DIE,1.38345104261106
2022-01-16,DIE,1.37685253249664
2022-01-17,DIE,1.36986424731183
2022-01-18,DIE,1.38073506960036
2022-01-19,DIE,1.38722177237967
2022-01-20,DIE,1.39336160510716
2022-01-21,DIE,1.39657940503432
2022-01-22,DIE,1.39954070031833
2022-01-23,DIE,1.39224285065819
2022-01-24,DIE,1.38493267504488
2022-01-25,DIE,1.39400225225225
2022-01-26,DIE,1.3958471849866
2022-01-27,DIE,1.3981
2022-01-28,DIE,1.40157527372263
2022-01-29,DIE,1.40738641578706
2022-01-30,DIE,1.40142119565217
2022-01-31,DIE,1.39583572068039
2022-02-01,DIE,1.40886168741355
2022-02-02,DIE,1.41456247118488
2022-02-03,DIE,1.42028669410151
2022-02-05,DIE,1.4257082945014
2022-02-06,DIE,1.41862104283054
2022-02-07,DIE,1.41219722222222
2022-02-08,DIE,1.4271290174472
2022-02-09,DIE,1.43158058608059
2022-02-10,DIE,1.43520201096892
2022-02-11,DIE,1.43280092378753
2022-02-12,DIE,1.44193027522936
2022-02-13,DIE,1.43578341640236
2022-02-14,DIE,1.42948753964658
2022-02-15,DIE,1.44080027422303
2022-02-16,DIE,1.44878352402746
2022-02-17,DIE,1.45207816091954
2022-02-18,DIE,1.45497332730561
2022-02-19,DIE,1.45982652134423
2022-02-20,DIE,1.45164767547858
2022-02-21,DIE,1.44279505946935
2022-02-22,DIE,1.44979280510018
2022-02-23,DIE,1.45423976342129
2022-02-24,DIE,1.45674365942029
2022-02-25,DIE,1.47732416591524
2022-02-26,DIE,1.49569666048237
2022-02-27,DIE,1.48992050209205
2022-02-28,DIE,1.48449061913696
2022-03-01,DIE,1.49776862925483
2022-03-02,DIE,1.5124928538497
2022-03-03,DIE,1.56323820754717
2022-03-04,DIE,1.62093075836081
2022-03-05,DIE,1.67661390324096
2022-03-06,DIE,1.67482380952381
2022-03-07,DIE,1.67348909952607
2022-03-08,DIE,1.7727243498818
2022-03-09,DIE,1.87174013474495
2022-03-10,DIE,1.99432489040429
2022-03-11,DIE,2.03281590156176
2022-03-12,DIE,2.04064066852368
2022-03-13,DIE,2.03353634669152
2022-03-14,DIE,2.02450878815911
2022-03-15,DIE,2.01089444444444
2022-03-16,DIE,2.0029012567325
2022-03-17,DIE,1.96566801437556
2022-03-18,DIE,1.88582839962997
2022-03-19,DIE,1.84240459770115
2022-03-20,DIE,1.83223345759553
2022-03-21,DIE,1.81865197215777
2022-03-22,DIE,1.81399355135882
2022-03-23,DIE,1.82561566820276
2022-03-24,DIE,1.83807112970711
2022-03-25,DIE,1.86498780487805
2022-03-26,DIE,1.87813349168646
2022-03-27,DIE,1.87299573459716
2022-03-28,DIE,1.86716274694262
2022-03-29,DIE,1.8770587138863
2022-03-30,DIE,1.87644990636704
2022-03-31,DIE,1.86080477721635
2022-04-02,DIE,1.83774977085243
