Bundesland,Einwohner
Burgenland,297583
Kärnten,564513
Niederösterreich,1698796
Oberösterreich,1505140
Salzburg,562606
Steiermark,1252922
Tirol,764102
Vorarlberg,401674
Wien,1931593
